delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.05555556	-22.77777778	-46.57200624	0.7159950057	continued:5	1,1,1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	496.4908953,1172.231944,2710.697052,8464.795114,9775.179066,10114.79836,10505.03343,10974.96304	246.1324046,5047.63021,6336.293146,6668.449293,7047.359366,7498.784533,8079.156504,9004.40919	0.9740898388,0.9804808341,0.9824692275,-0.9651723905,-0.9865169099,-0.9872098233,-0.9857518781,-0.9840218223	0.9968470788,-0.9650465809,-0.9850153464,-0.9874289553,-0.9860471661,-0.9843956921,-0.9819585565,-0.9799423818	ok
-0.94444444	-22.77777778	-47.94421480	0.7187883546	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	721.7207134,1575.451688,8846.838428,10144.00485,10478.71389,10862.26855,11323.50679,11929.57615	243.5669882,5088.477212,6370.442165,6700.240766,7076.106171,7524.681278,8104.546668,9053.328998	0.9737697628,0.9791814038,0.9644933997,0.9830246595,0.9868005185,0.9854253938,0.9836647684,0.9809553931	0.9968529842,-0.964404765,-0.9799802785,-0.9868970303,-0.9856335709,-0.9839285672,-0.9813792019,-0.9794053842	ok
-0.83333333	-22.77777778	-48.94102966	0.7159950057	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	944.6669347,2018.704801,8211.964529,9501.324296,9833.460353,10213.43436,10670.96504,11275.23325	241.0691387,5131.316195,6406.542216,6734.871996,7108.066843,7554.288957,8134.657421,9114.904165	0.9738134895,0.9792518068,-0.963836824,-0.9749802748,-0.9861966462,-0.9849971601,-0.9831891815,-0.9803617301	0.9968578686,-0.9637570675,-0.9877992534,-0.9861930555,-0.9851833966,-0.9834312325,-0.9807582395,-0.9788914174	ok
-0.72222222	-22.77777778	-49.67979379	0.7187883546	continued:5	1,1,1,1,1,1,1,-1	1,-1,-1,-1,-1,-1,-1,1	1300.327772,8522.388365,10124.5452,10497.66659,10945.77735,11535.72058,12603.18483,18509.36298	238.6358058,5175.74112,6771.853874,7142.741356,7587.084568,8168.979137,9191.433256,15226.4409	0.9747194898,0.9631309226,0.9852760407,0.9846281822,0.9828187821,0.9799531207,0.9786338728,-0.9631593354	0.9968617603,-0.9631037579,-0.985203109,-0.9846892361,-0.9829016398,-0.9800929084,-0.9784266504,0.9631602932	ok
-0.61111111	-22.77777778	-50.15132456	0.7159950057	continued:5	1,1,1,1,1,1,1,-1	1,-1,-1,-1,-1,-1,-1,1	1671.238981,8345.244585,9941.975078,10313.60187,10761.14411,11355.79511,12506.7435,18015.94654	236.2641344,5221.427279,6810.785299,7179.72598,7622.64895,8207.128804,9287.540519,14937.04883	0.9750982125,0.962478089,0.9839418881,0.9840712216,0.9822334483,0.9792012413,0.9784221221,-0.9624820876	0.9968646853,-0.9624450934,-0.9837053985,-0.9841409098,-0.9823373064,-0.9793799856,-0.9780529413,0.9624843168	ok
-0.50000000	-22.77777778	-50.44963338	0.7132016568	full	1,-1,-1,-1,-1,-1,-1,1	1,-1,-1,-1,-1,-1,-1,1	2157.022494,8022.297461,9612.505306,9982.362641,10428.70607,11026.86652,12283.60233,17505.5605	233.9514481,5268.112317,6851.330085,7218.690357,7660.642424,8248.826029,9413.048556,14751.68122	0.9758679492,-0.9618122686,-0.9817564838,-0.9834668739,-0.9816347706,-0.9784386772,-0.978361349,0.961805211	0.9968666679,-0.9617813136,-0.9812360912,-0.9835241468,-0.9817352807,-0.9786157969,-0.9778434778,0.9618076072	ok
-1.50000000	-20.00000000	-49.25007470	0.8128040769	continued:5	1,1,1,1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	9.574087243,1557.316118,8563.636313,10947.29801,16506.61024,17549.28509,18573.36705,25533.13257	242.685973,4940.761148,5968.910747,6290.68257,6650.248484,7068.19438,7580.289297,8280.933014	0.9660189471,0.9814011386,0.9671033373,0.9847935746,-0.9692255095,-0.9775335372,-0.9817857385,-0.9669742094	0.9971559024,-0.9685337558,-0.9638619648,-0.9881622013,-0.9876606602,-0.9863655237,-0.9846205411,-0.9820331242	ok
-1.38888889	-20.00000000	-49.80475440	0.8100107280	full	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	51.05934127,1910.047037,8671.257983,9770.084134,10906.68222,18048.76617,19058.19554,19930.29458	240.2986692,4973.096826,6313.028071,6668.231692,7080.811997,7586.700144,8281.302825,16393.70447	0.9939980786,0.9820015243,0.9687563251,0.9771102885,0.9817424622,0.9690244059,0.9759437634,0.9808753477	0.9971615862,-0.9679267863,-0.9870937931,-0.9872911467,-0.9860012171,-0.9842253251,-0.9815299645,-0.9680720048	ok
-1.27777778	-20.00000000	-42.98288367	0.7194127044	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	209.7183203,745.3195077,1538.128256,9505.570554,10872.7198,11237.96144,11667.65593,12207.74889	237.9696424,5009.46931,6340.261478,6691.673165,7099.500104,7600.097098,8290.677797,16186.80807	0.9802399337,0.9831748947,0.9804246563,0.9675062446,0.9865639084,0.9865440699,0.9851617565,0.9830695169	0.9971663741,-0.967313208,-0.9851133046,-0.9868525329,-0.9856060572,-0.9837968217,-0.9809878389,-0.9674145006	ok
-1.16666667	-20.00000000	-45.38447065	0.7166193555	continued:5	1,1,1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	368.8180725,984.7193903,2100.170414,9044.098696,10408.83725,10772.63339,11201.48076,11743.91028	235.6964344,5049.010456,6371.316653,6719.517864,7123.136853,7619.247426,8307.649663,16008.59558	0.9751048378,0.9810112765,0.9806184947,-0.9669199249,-0.9851381703,-0.986033807,-0.9846564812,-0.9824617533	0.9971702899,-0.9666932246,-0.9808238695,-0.9863127956,-0.9851768321,-0.9833345582,-0.9804052209,-0.966766469	ok
-1.05555556	-20.00000000	-47.08117538	0.7138260066	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	547.2654847,1256.710769,8751.895224,10077.16317,10426.43014,10832.44056,11335.81254,12052.81292	233.4767347,5091.054293,6405.190044,6750.955361,7150.868114,7643.22178,8331.208647,15849.20595	0.9724059403,0.9794287554,0.9661277875,0.9744467161,0.9856201129,0.9845803033,0.9826205003,0.9795448159	0.9971733554,-0.9660670898,-0.958428319,-0.9856158068,-0.9847087052,-0.9828373226,-0.9797802767,-0.9661219737	ok
-0.94444444	-20.00000000	-48.38669677	0.7110326577	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	746.6573062,1586.50674,8562.625432,10230.51349,10634.46958,11137.11212,11863.00219,19117.59603	231.3083693,5135.081875,6785.347185,7182.028234,7671.302294,8360.626006,15698.94473,17359.29866	0.9719820132,0.9784103977,0.9655088078,0.984790796,0.9840445866,0.982034178,0.9788260761,0.9654867642	0.997175591,-0.9654350744,-0.9846574409,-0.9841947996,-0.9823032872,-0.9791110031,-0.965477556,-0.9847451725	ok
-0.83333333	-20.00000000	-49.38009708	0.7082393089	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	972.3216251,2036.164149,7996.913073,9653.36816,10053.35394,10551.53675,11275.99715,18331.58176	229.1892902,5180.683386,6822.17817,7216.088359,7702.92391,8395.384716,15548.84216,17198.33276	0.972134932,0.9785492902,-0.9648604921,-0.9835793862,-0.9835069641,-0.981496558,-0.9781467798,-0.9648372631	0.9971770157,-0.9647974482,-0.983230029,-0.9836254299,-0.9817300472,-0.9783953769,-0.964831328,-0.9834353318	ok
-0.72222222	-20.00000000	-50.10911164	0.7110326577	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1333.321949,8395.393091,10034.4811,10428.29204,10917.50603,11627.08342,18536.98858,20177.44299	227.1175666,5227.53142,6861.022348,7252.621462,7737.635415,8435.139315,15390.71866,17030.76678	0.9732311161,0.9641781667,0.9812363355,0.9829498004,0.9810266282,0.9775329439,0.9641840209,0.9813151447	0.997177647,-0.9641544698,-0.9808804305,-0.9829867977,-0.981114607,-0.9776315532,-0.9641822376,-0.9812918806	ok
-0.61111111	-20.00000000	-50.56818535	0.7082393089	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1712.611549,8243.96597,9876.779736,10269.11377,10757.92969,11477.71482,18149.33122,19781.40787	225.0913756,5275.361744,6901.515801,7291.277914,7775.072755,8479.695543,15218.18448,16849.87997	0.9737159818,0.9635344176,0.9774759232,0.9822273093,0.9803465007,0.9767041768,0.9635312792,0.9773726533	0.997177501,-0.9635063824,-0.9764467851,-0.9822587826,-0.9804533261,-0.9768181578,-0.9635296696,-0.9773182279	ok
-0.50000000	-20.00000000	-50.85328090	0.7054459600	full	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	2222.927,8001.6735,9627.376411,10018.20016,10506.16457,11235.49079,17662.09845,19286.51846	223.1089952,5323.959185,6943.291909,7331.767957,7814.940271,8529.005835,15029.13272,16653.27489	0.9746810582,-0.9628796833,-0.9677773625,-0.9814012118,-0.9796386994,-0.9758515315,-0.9628743727,-0.9669799093	0.9971765928,-0.9628534112,-0.9625299,-0.9814111154,-0.9797418297,-0.9759547395,-0.9628732366,-0.9667949548	ok
